DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
146295,146295,0.500000,Transmission,Mk10,,01:55:00 03-Mar-2015,05:50:30 03-Mar-2015,Message,10,,,,14120.000000,14140.000000,,
146295,146295,0.500000,Transmission,Mk10,,01:55:00 03-Mar-2015,04:21:00 03-Mar-2015,Surface,,,,,8759,8761,8760,0
146295,146295,0.500000,Transmission,Mk10,,04:21:00 03-Mar-2015,04:36:30 03-Mar-2015,Dive,1,Square,12.0,12.0,929,931,,
146295,146295,0.500000,Transmission,Mk10,,04:36:30 03-Mar-2015,04:36:40 03-Mar-2015,Surface,,,,,9,11,10,0
146295,146295,0.500000,Transmission,Mk10,,04:36:40 03-Mar-2015,04:49:10 03-Mar-2015,Dive,1,Square,15.5,15.5,749,751,,
146295,146295,0.500000,Transmission,Mk10,,04:49:10 03-Mar-2015,04:49:20 03-Mar-2015,Surface,,,,,9,11,10,0
146295,146295,0.500000,Transmission,Mk10,,04:49:20 03-Mar-2015,05:02:40 03-Mar-2015,Dive,1,Square,18.0,18.0,799,801,,
146295,146295,0.500000,Transmission,Mk10,,05:02:40 03-Mar-2015,05:03:50 03-Mar-2015,Surface,,,,,69,71,52,18
146295,146295,0.500000,Transmission,Mk10,,05:03:50 03-Mar-2015,05:24:30 03-Mar-2015,Dive,1,Square,19.5,19.5,1239,1241,,
146295,146295,0.500000,Transmission,Mk10,,05:24:30 03-Mar-2015,05:26:00 03-Mar-2015,Surface,,,,,89,91,61,29
146295,146295,0.500000,Transmission,Mk10,,05:26:00 03-Mar-2015,05:50:30 03-Mar-2015,Dive,1,Square,20.0,20.0,1469,1471,,
146295,146295,0.500000,Transmission,Mk10,1,05:50:00 03-Mar-2015,08:22:50 03-Mar-2015,Message,9,,,,9161.000000,9179.000000,,
146295,146295,0.500000,Transmission,Mk10,1,05:50:00 03-Mar-2015,05:50:40 03-Mar-2015,Surface,,,,,39,41,31,9
146295,146295,0.500000,Transmission,Mk10,1,05:50:40 03-Mar-2015,06:14:50 03-Mar-2015,Dive,1,Square,19.5,19.5,1449,1451,,
146295,146295,0.500000,Transmission,Mk10,1,06:14:50 03-Mar-2015,06:15:30 03-Mar-2015,Surface,,,,,39,41,40,0
146295,146295,0.500000,Transmission,Mk10,1,06:15:30 03-Mar-2015,06:48:50 03-Mar-2015,Dive,1,Square,20.0,20.0,1999,2001,,
146295,146295,0.500000,Transmission,Mk10,1,06:48:50 03-Mar-2015,06:49:30 03-Mar-2015,Surface,,,,,39,41,40,0
146295,146295,0.500000,Transmission,Mk10,1,06:49:30 03-Mar-2015,07:29:20 03-Mar-2015,Dive,1,Square,20.0,20.0,2389,2391,,
146295,146295,0.500000,Transmission,Mk10,1,07:29:20 03-Mar-2015,07:30:00 03-Mar-2015,Surface,,,,,39,41,21,19
146295,146295,0.500000,Transmission,Mk10,1,07:30:00 03-Mar-2015,08:21:10 03-Mar-2015,Dive,1,Square,20.5,20.5,3069,3071,,
146295,146295,0.500000,Transmission,Mk10,1,08:21:10 03-Mar-2015,08:22:50 03-Mar-2015,Surface,,,,,99,101,42,58
146295,146295,0.500000,Transmission,Mk10,1,08:23:00 03-Mar-2015,12:51:50 03-Mar-2015,Message,9,,,,16121.000000,16139.000000,,
146295,146295,0.500000,Transmission,Mk10,1,08:23:00 03-Mar-2015,09:16:30 03-Mar-2015,Dive,1,Square,20.0,20.0,3209,3211,,
146295,146295,0.500000,Transmission,Mk10,1,09:16:30 03-Mar-2015,09:17:10 03-Mar-2015,Surface,,,,,39,41,21,19
146295,146295,0.500000,Transmission,Mk10,1,09:17:10 03-Mar-2015,09:51:00 03-Mar-2015,Dive,1,Square,20.0,20.0,2029,2031,,
146295,146295,0.500000,Transmission,Mk10,1,09:51:00 03-Mar-2015,09:52:20 03-Mar-2015,Surface,,,,,79,81,62,18
146295,146295,0.500000,Transmission,Mk10,1,09:52:20 03-Mar-2015,10:52:20 03-Mar-2015,Dive,1,Square,20.0,20.0,3599,3601,,
146295,146295,0.500000,Transmission,Mk10,1,10:52:20 03-Mar-2015,10:53:30 03-Mar-2015,Surface,,,,,69,71,41,29
146295,146295,0.500000,Transmission,Mk10,1,10:53:30 03-Mar-2015,11:51:40 03-Mar-2015,Dive,1,Square,19.0,19.0,3489,3491,,
146295,146295,0.500000,Transmission,Mk10,1,11:51:40 03-Mar-2015,11:53:00 03-Mar-2015,Surface,,,,,79,81,62,18
146295,146295,0.500000,Transmission,Mk10,1,11:53:00 03-Mar-2015,12:51:50 03-Mar-2015,Dive,1,Square,19.5,19.5,3529,3531,,
146295,146295,0.500000,Transmission,Mk10,1,12:52:00 03-Mar-2015,15:41:50 03-Mar-2015,Message,10,,,,10180.000000,10200.000000,,
146295,146295,0.500000,Transmission,Mk10,1,12:52:00 03-Mar-2015,12:53:20 03-Mar-2015,Surface,,,,,79,81,41,39
146295,146295,0.500000,Transmission,Mk10,1,12:53:20 03-Mar-2015,13:53:20 03-Mar-2015,Dive,1,Square,19.5,19.5,3599,3601,,
146295,146295,0.500000,Transmission,Mk10,1,13:53:20 03-Mar-2015,13:53:30 03-Mar-2015,Surface,,,,,9,11,10,0
146295,146295,0.500000,Transmission,Mk10,1,13:53:30 03-Mar-2015,14:14:50 03-Mar-2015,Dive,1,Square,18.5,18.5,1279,1281,,
146295,146295,0.500000,Transmission,Mk10,1,14:14:50 03-Mar-2015,14:15:10 03-Mar-2015,Surface,,,,,19,21,20,0
146295,146295,0.500000,Transmission,Mk10,1,14:15:10 03-Mar-2015,15:02:30 03-Mar-2015,Dive,1,Square,19.5,19.5,2839,2841,,
