id,date,step,Avg_dive_time_min,Avg_dive_depth_neg,Avg_surface_time_sec,Nesting_attempt,Activity,Home_range,tseg,behav
41589,3/18/18 4:19,1113.973,7.233333333,-8,32.5,NA,1,1,1,X2
41589,3/18/18 5:00,2254.443,17.61111111,-18.33333333,52.5,NA,1,2,1,X2
41589,3/18/18 6:00,2232.459,23.91666667,-23,125,NA,1,2,1,X2
41589,3/18/18 7:00,1934.14,17.95833333,-14.375,46.66666667,NA,1,2,1,X2
41589,3/18/18 8:00,2172.927,22.27777778,-14.66666667,43.33333333,NA,1,3,1,X2
41589,3/18/18 9:00,2112.873,29.16666667,-18.75,75,NA,1,3,1,X2
41589,3/18/18 10:00,1940.398,29.33333333,-18,60,NA,1,4,1,X2
41589,3/18/18 11:00,1841.466,32.16666667,-14.75,60,NA,1,4,1,X2
41589,3/18/18 12:00,1920.778,19.33333333,-11.75,50,NA,1,5,1,X2
41589,3/18/18 13:00,1731.005,25.66666667,-12.5,65,NA,1,5,1,X2
41589,3/18/18 14:00,1158.103,34.75,-14.75,110,NA,1,5,1,X2
41589,3/18/18 15:00,126.433,49.83333333,-16.5,100,NA,1,6,2,X4
41589,3/18/18 16:00,43.601,50.66666667,-16.5,150,NA,1,6,2,X4
41589,3/18/18 17:00,30.323,40.33333333,-16.5,155,NA,1,6,2,X4
41589,3/18/18 18:00,4.854,28.72222222,-16.33333333,90,NA,1,6,2,X4
41589,3/18/18 19:00,26.132,25.25,-15.5,120,NA,1,6,2,X4
41589,3/18/18 20:00,10.936,42.83333333,-15.5,130,NA,1,6,2,X4
41589,3/18/18 21:00,8.628,49.5,-14.5,160,NA,1,6,2,X4
41589,3/18/18 22:00,13.433,50.33333333,-14,170,NA,1,6,2,X4
41589,3/18/18 23:00,30.154,49.33333333,-14,160,NA,1,6,2,X4
41589,3/19/18 0:00,23.03,50.91666667,-14.25,160,NA,1,6,2,X4
41589,3/19/18 1:00,16.533,45,-15,150,NA,1,6,2,X4
41589,3/19/18 2:00,26.032,36.16666667,-16,145,NA,1,6,2,X4
41589,3/19/18 3:00,10.119,45.16666667,-15.5,NA,NA,1,6,2,X4
41589,3/19/18 4:00,113.689,45.41666667,-16.5,140,NA,1,6,2,X4
41589,3/19/18 5:00,168.733,41.83333333,-16.5,180,NA,1,6,2,X4
41589,3/19/18 6:00,14.255,40.83333333,-16.5,NA,NA,1,6,2,X4
