id,date,Nesting_attempt
41589,3/18/2018 03:18,NA
41589,3/18/2018 04:18,nest
41589,3/30/2018 19:19,NA
41589,3/30/2018 20:19,nest
146300,1/15/2019 01:06,NA
146300,1/15/2019 02:06,nest
146300,1/31/2019 20:18,false-crawl
146300,1/31/2019 20:33,false-crawl
146300,1/31/2019 22:31,false-crawl
146300,1/31/2019 22:46,false-crawl
146300,1/31/2019 23:01,false-crawl
146300,1/31/2019 23:16,false-crawl
146300,2/03/2019 0:04,false-crawl
146300,2/03/2019 0:19,false-crawl
146300,2/03/2019 0:49,false-crawl
146300,2/05/2019 19:43,NA
146300,2/05/2019 20:58,nest
146300,3/06/2019 20:18,false-crawl
146300,3/07/2019 19:57,false-crawl
146300,3/07/2019 21:20,false-crawl
146300,3/08/2019 19:25,false-crawl
146300,3/08/2019 19:40,false-crawl
146300,3/08/2019 19:55,false-crawl
146300,3/08/2019 21:35,false-crawl
146300,3/09/2019 21:49,NA
146300,3/09/2019 22:49,NA
146300,3/09/2019 23:34,nest
146300,3/25/2019 00:03,NA
146300,3/25/2019 00:15,NA
146300,3/25/2019 01:03,nest
41592,3/15/2018 22:07,NA
41592,3/15/2018 23:07,nest
41592,3/29/2018 19:26,NA
41592,3/29/2018 20:26,NA
41592,3/29/2018 21:04,nest
146294,2/27/2015 22:37,NA
146294,2/27/2015 23:37,nest
146294,3/13/2015 20:39,NA
146294,3/13/2015 21:39,NA
146294,3/13/2015 22:39,nest
146295,3/02/2015 23:55,NA
146295,3/03/2015 0:55,nest
146295,3/19/2015 19:44,false-crawl
146296,3/05/2015 0:24,NA
146296,3/05/2015 1:24,nest
146296,3/20/2015 00:07,NA
146296,3/20/2015 01:07,NA
146296,3/20/2015 02:07,nest
146297,4/04/2015 0:48,NA
146297,4/04/2015 1:48,nest
146297,4/17/2015 19:34,false-crawl
146297,4/19/2015 00:05,NA
146297,4/19/2015 01:22,nest
146297,5/03/2015 1:23,NA
146297,5/03/2015 2:23,nest
146297,5/18/2015 19:28,NA
146297,5/18/2015 20:35,NA
146297,5/18/2015 21:05,NA
146297,5/18/2015 22:05,nest
146298,1/17/2016 10:57,NA
146298,1/17/2016 11:57,nest
146298,2/02/2016 23:16,NA
146298,2/03/2016 0:16,NA
146298,2/03/2016 1:16,nest
146298,2/18/2016 21:16,NA
146298,2/18/2016 22:16,NA
146298,2/18/2016 23:11,nest
146298,3/04/2016 20:44,NA
146298,3/04/2016 21:44,NA
146298,3/04/2016 22:44,nest
146298,3/20/2016 23:33,NA
146298,3/21/2016 00:33,nest
146299,1/28/2016 08:04,NA
146299,1/28/2016 09:04,nest
146299,2/10/2016 23:22,NA
146299,2/11/2016 0:22,nest
146300,2/10/2016 2:38,NA
146300,2/10/2016 3:53,nest
146300,2/24/2016 20:44,false-crawl
146300,2/25/2016 22:09,NA
146300,2/25/2016 23:09,nest
146300,3/11/2016 21:23,false-crawl
146300,3/13/2016 18:26,NA
146300,3/13/2016 19:26,nest
146300,3/27/2016 18:43,NA
146300,3/27/2016 19:43,NA
146300,3/27/2016 20:03,nest
146296,12/27/2017 23:58,NA
146296,12/28/2017 00:58,nest
146296,1/12/2018 22:37,NA
146296,1/12/2018 23:37,nest
146296,1/28/2018 22:51,NA
146296,1/28/2018 23:51,NA
146296,1/29/2018 00:11,nest
146296,2/12/2018 23:00,false-crawl
146296,2/12/2018 23:20,false-crawl
146296,2/14/2018 21:45,nest
146304,1/17/2018 01:47,NA
146304,1/17/2018 02:47,nest
146304,2/01/2018 22:44,false-crawl
146304,2/01/2018 23:24,false-crawl
146304,2/04/2018 1:59,false-crawl
146304,2/04/2018 3:40,false-crawl
146304,2/04/2018 4:35,NA
146304,2/04/2018 5:25,nest
146304,2/17/2018 20:21,false-crawl
146304,2/17/2018 20:41,false-crawl
146304,2/17/2018 22:10,false-crawl
146304,2/17/2018 22:30,false-crawl
146304,2/18/2018 04:16,NA
146304,2/18/2018 05:36,nest
146304,3/03/2018 20:12,false-crawl
146304,3/03/2018 23:48,false-crawl
146304,3/05/2018 23:41,NA
146304,3/06/2018 0:41,nest
146300,2/20/2019 20:42,nest
